Wavelength (nm),Real Index
349.9,1.358224
354.8,1.357247
359.7,1.356295
364.8,1.35537
369.8,1.35447
375,1.353594
380.2,1.35274
384.6,1.352046
389.9,1.351231
395.4,1.350438
399.9,1.349793
404.6,1.349159
410.2,1.348417
415,1.347811
419.8,1.347219
424.6,1.346636
429.5,1.346066
434.5,1.345505
439.5,1.344956
444.6,1.344418
449.8,1.343889
455,1.343368
460.3,1.342858
464.5,1.342455
469.9,1.341961
475.3,1.341475
479.7,1.341093
485.3,1.34062
489.8,1.340248
495.5,1.339791
500,1.33943
504.7,1.339073
510.5,1.338635
515.2,1.338288
520,1.337944
524.8,1.337607
529.7,1.337273
534.6,1.336943
539.5,1.336615
544.5,1.336292
549.5,1.335972
554.6,1.335656
559.8,1.335344
564.9,1.335035
570.2,1.334729
575.4,1.334425
579.4,1.3342
584.8,1.333902
590.2,1.333609
595.7,1.333316
599.8,1.3331
605.3,1.332813
609.5,1.332598
615.2,1.332317
619.4,1.332106
625.2,1.331826
629.5,1.331619
635.3,1.331345
639.7,1.331144
645.7,1.330877
650.1,1.330683
654.6,1.33049
660.7,1.330238
665.3,1.330052
669.9,1.329869
674.5,1.32969
680.8,1.329452
685.5,1.329278
690.2,1.329106
695,1.328938
699.8,1.328769
704.7,1.328603
709.6,1.32844
714.5,1.328279
719.4,1.32812
724.4,1.327963
729.5,1.327808
734.5,1.327652
739.6,1.327502
744.7,1.32735
749.9,1.327201
755.1,1.327055
760.3,1.326909
765.6,1.326764
769.1,1.326667
774.5,1.326524
779.8,1.326382
785.2,1.326244
790.7,1.326104
794.3,1.326012
799.8,1.325874
805.4,1.325739
809.1,1.325648
814.7,1.325512
820.4,1.325379
824.1,1.32529
829.9,1.325157
835.6,1.325025
839.5,1.324937
845.3,1.324805
849.2,1.324718
855.1,1.32459
859,1.324502
865,1.324373
871,1.324244
875,1.324159
879,1.324074
885.1,1.323946
889.2,1.323859
895.4,1.323732
899.5,1.323648
905.7,1.32352
909.9,1.323434
914.1,1.323351
920.4,1.323222
924.7,1.323138
929,1.323054
935.4,1.322926
939.7,1.322842
944.1,1.322757
950.6,1.32263
955,1.322546
959.4,1.322462
966.1,1.322333
970.5,1.322249
975,1.322165
979.5,1.32208
984,1.321994
990.8,1.321866
995.4,1.32178
1000,1.321695
1009,1.321521
1021,1.321303
1030,1.321128
1040,1.320952
1050,1.320775
1059,1.320596
1069,1.320416
1079,1.320233
1089,1.320051
1099,1.319865
1109,1.319678
1119,1.319488
1130,1.319296
1140,1.319103
1151,1.318909
1159,1.318763
1169,1.318566
1180,1.318366
1191,1.318162
1199,1.318008
1211,1.317799
1219,1.317641
1230,1.317427
1239,1.317263
1250,1.317042
1259,1.316873
1271,1.316645
1279,1.31647
1291,1.316233
1300,1.316052
1309,1.315868
1321,1.315618
1330,1.315425
1340,1.315228
1349,1.315031
1361,1.31476
1371,1.314547
1380,1.314329
1390,1.314104
1400,1.313871
1409,1.313671
1419,1.313518
1429,1.313373
1439,1.31322
1449,1.313055
1459,1.312888
1469,1.312715
1479,1.312525
1489,1.312318
1500,1.312093
1510,1.311852
1521,1.311604
1531,1.311352
1542,1.311097
1549,1.310923
1560,1.310659
1570,1.310387
1581,1.310114
1589,1.309928
1600,1.309642
1611,1.309352
1622,1.309055
1629,1.308855
1641,1.308548
1648,1.308341
1660,1.308021
1671,1.307672
1679,1.307435
1690,1.307073
1698,1.306829
1710,1.306453
1722,1.30607
1730,1.305809
1742,1.305413
1750,1.305142
1762,1.304727
1770,1.304442
1778,1.304155
1791,1.303718
1799,1.303418
1811,1.302947
1820,1.302616
1828,1.302269
1841,1.301709
1849,1.301291
1862,1.300633
1871,1.300214
1879,1.29986
1888,1.299545
1901,1.298998
1910,1.298791
1919,1.298793
1932,1.298681
1941,1.29859
1950,1.298472
1959,1.298308
1968,1.298051
1982,1.297607
1991,1.297292
2000,1.296913
2009,1.296499
2018,1.296066
2028,1.295606
2042,1.294919
2051,1.294457
2061,1.293973
2070,1.293476
2080,1.292966
2089,1.292438
2099,1.291899
2109,1.291353
2118,1.290795
2128,1.290221
2138,1.289634
2148,1.289033
2158,1.288418
2168,1.287787
2178,1.287139
2188,1.286474
2198,1.28579
2208,1.285087
2218,1.284365
2228,1.283619
2239,1.282852
2249,1.282064
2259,1.281256
2270,1.280421
2280,1.279561
2291,1.278675
2301,1.277755
2312,1.276797
2317,1.276305
2328,1.275295
2339,1.274257
2350,1.273184
2360,1.272062
2371,1.270902
2382,1.269682
2388,1.269059
2399,1.267787
2410,1.26645
2421,1.265059
2432,1.263577
2438,1.262824
2449,1.261297
2460,1.259683
2472,1.257969
2477,1.257102
2489,1.255347
2500,1.253465
